frame,case_label,track_id_a,track_id_b,cost_px,diagnosis,note,image
164,worst,30,20,4115.0,possible_ambiguity_closer_option_existed,"a closer unused detection (id27) existed at 4057px -- worth checking if Hungarian's global optimum took id27 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\worst_frame0164_id30-20.jpg
163,worst,30,20,4053.8,possible_ambiguity_closer_option_existed,"a closer unused detection (id27) existed at 4012px -- worth checking if Hungarian's global optimum took id27 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\worst_frame0163_id30-20.jpg
159,worst,30,20,3626.5,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0159_id30-20.jpg
158,worst,30,20,3572.6,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0158_id30-20.jpg
127,worst,30,20,2061.8,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0127_id30-20.jpg
114,worst,30,20,1765.5,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0114_id30-20.jpg
113,worst,30,20,1749.9,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0113_id30-20.jpg
112,worst,30,20,1728.2,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0112_id30-20.jpg
111,worst,30,20,1715.1,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0111_id30-20.jpg
110,worst,30,20,1713.9,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0110_id30-20.jpg
109,worst,30,20,1709.1,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0109_id30-20.jpg
108,worst,30,20,1693.4,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0108_id30-20.jpg
107,worst,30,20,1673.7,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0107_id30-20.jpg
